,SMILES,pIC50,num_atoms,logP
10155,Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,0.0,18,6.745900000000002
10156,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,0.0,19,7.399300000000001
10157,Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.0,19,7.399300000000001
10158,Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.0,20,8.0527
10159,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,0.0,24,3.440640000000002
10160,Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)cccc1O2,0.0,18,6.198200000000001
10161,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,0.05,25,1.2851000000000006
10162,COC(=O)n1cc(F)c(=O)[nH]c1=O,,13,-0.7098
10163,CC(C)COC(=O)n1cc(F)c(=O)[nH]c1=O,0.48,16,0.3164
10164,CN(C)CCn1nnnc1SCC1=C(C(=O)OCOC(=O)C(C)(C)C)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,0.44,42,0.3522000000000039
10165,Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,0.0,19,7.399300000000001
10166,NC(=O)CCCc1ccncc1,0.13,12,0.8895999999999997
10167,Clc1cc2c(c(Cl)c1Cl)Oc1ccc(Cl)c(Cl)c1O2,0.0,19,6.8516
10168,Clc1cc(Cl)c2c(c1)Oc1c(cc(Cl)c(Cl)c1Cl)O2,0.0,19,6.8516
10169,Clc1cc(Cl)c2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,0.0,19,6.8516
10170,COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,0.0,21,2.840800000000001
10171,Cc1c(-c2ccccc2)oc2ccccc2c1=O,0.0,18,3.7684200000000025
10172,CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,0.0,23,3.2215000000000025
10173,Clc1cc(Cl)c2c(c1)oc1c(Cl)cc(Cl)cc12,0.0,17,6.199600000000001
10174,N#Cc1ncc(Cl)nc1C#N,0.13,11,0.87336
10175,CCc1nc(C#N)c(C#N)nc1Cl,0.04,13,1.43576
10176,CCCCc1nc(C#N)c(C#N)nc1Cl,0.01,15,2.21596
10177,CCCCc1nc(C#N)c(C#N)nc1C,0.01,15,1.87098
10178,CC(=O)c1cccc(NC(=O)Cc2ccccc2)c1,0.0,19,3.070400000000001
10179,Cc1nc(C#N)c(C#N)nc1Cl,0.07,12,1.18178
10180,CC1(C)CCC(c2ccccc2)(N2CCCCC2)CC1,0.0,20,4.968000000000004
